"","bin","nMonkeys","wtAvgRestPct","wtSdRestPct","wtSeRestPct","wtAvgMovingPct","wtSdMovingPct","wtSeMovingPct","wtAvgFeedingPct","wtSdFeedingPct","wtSeFeedingPct","wtAvgOtherPct","wtSdOtherPct","wtSeOtherPct","wtAvgNumNN","wtSdNumNN","wtSeNumNN","wtAvgDistNN","wtSdDistNN","wtSeDistNN","wtAvgRivDist","wtSdRivDist","wtSeRivDist"
"1","0",14,51.0522810522811,33.4546148644019,8.9411219163619,8.6996336996337,12.2497656449564,3.27388757940719,39.7718947718948,34.3297981997896,9.17502450147869,8.57142857142857,10.8428153116445,2.89786428601717,1.86810606060606,0.685971726758333,0.183333655610242,2.97054309327037,1.85173376725352,0.494896666327347,0,0,0
"2","1",59,89.0236788133984,19.1774999459611,2.49669783329949,5.90554500017117,10.7267383694454,1.39650238669431,4.10130173564753,13.2634958547159,1.72676008112414,4.90654205607477,9.68836012448469,1.2613170537967,2.32849923452142,1.82231610889513,0.23724534967987,3.23609678092642,2.98592686508477,0.388734566833772,8.68356326390537,4.25237234921633,0.553611725229441
"3","2",72,68.3188827336226,34.0183162453911,4.00909701694409,13.0139944085031,18.4048390691589,2.16903108540822,17.3917764958227,27.1691922462335,3.20192001277878,10.6936416184971,14.2448833852824,1.67877560649079,2.20827727102237,1.51675362672433,0.17875112914101,3.32313880748266,2.59482630061225,0.305803212194021,22.3730623119557,4.02511849034818,0.474364763267427
"4","3",78,77.5709798095857,25.7124630565311,2.91136314102015,9.63943811128798,13.2857939341329,1.50431993519963,11.8814196428137,17.6318385494298,1.99641258592647,13.4038800705467,17.9221023215041,2.02927848622287,1.69377106259374,1.11036588633899,0.125724179259924,2.83070926627354,2.12589186870558,0.240709854001006,37.7903912221076,4.33741139810638,0.491115131371285
"5","4",154,78.8891281470787,29.498450247214,2.37705286123652,6.39124874438479,10.6587339734509,0.858905260324424,13.4041048517639,23.9027243749521,1.92613642041056,9.84982332155477,16.1407067894124,1.30065521865089,2.28156224021657,1.54011241131928,0.124105794822158,2.71078344469738,2.35825638730878,0.190033715195294,53.5821763524117,3.91217090281962,0.315251715268396
"6","5",93,80.3903715274031,27.686625000838,2.87096927159848,6.18358802598332,11.9391244961193,1.23802953798485,12.6912865891558,21.8593159513132,2.2667054721362,8.00881704628949,12.0713693137441,1.25174268676038,2.40928507229448,2.29613041861866,0.23809763289087,3.01017002103479,2.41635420402453,0.250564258693222,66.3917333144306,4.73862250147283,0.491372263358998
"7","6",84,79.45358349915,28.0952743292629,3.06544574486659,5.92365944582693,9.51389869941127,1.03805145105224,12.9392052483185,23.1593327654843,2.52689036767864,10.1806239737274,15.1889790580637,1.65725348244467,1.78296077123797,1.30719712756949,0.142626899650382,2.65064271324805,2.39318097494625,0.261117451652843,83.7195449032102,4.15983189159587,0.453874869560224
"8","7",144,85.7914948900864,25.0766176502327,2.08971813751939,5.30411893792176,11.2133858806848,0.934448823390401,8.21916372620598,18.9698553726332,1.58082128105276,7.41784037558685,12.9621390216246,1.08017825180205,1.68076943356363,1.28363721210533,0.106969767675444,3.14447456985071,2.91292207879225,0.242743506566021,98.7751983807793,4.33293872257702,0.361078226881419
"9","8",137,79.6631815555772,28.2014514416042,2.40941259978619,6.64604227228482,10.8096459757557,0.923530381659403,13.1168843581865,23.3066629828021,1.99122259951807,8.99602385685885,12.7419379112773,1.08861722286513,1.54473676903624,1.27597200522211,0.109013645369372,3.52826658129471,2.86243240106403,0.244554104154563,111.919843346421,4.79924288732206,0.41002699120263
"10","9",176,77.1368482601201,29.248356448635,2.20467781987941,9.0497713798405,14.2468781832945,1.07389884927019,12.9250214071643,23.0414685740492,1.73681604270196,12.0967741935484,15.7363699999869,1.18617351936731,1.88880608971138,1.47154691313346,0.110922022097032,2.48842456059922,2.11410043474979,0.159356316163461,127.528578699002,3.86868145714386,0.291612836971626
"11","10",90,80.7633143129757,26.9683606591662,2.84271481479483,8.16205677943827,13.4422236485708,1.41693478489542,10.2299882209589,21.2611518717134,2.24112218644555,12.5658389766742,14.4397483602529,1.52208312193602,1.59461958819965,1.35175014291454,0.142486975968936,2.37001171206779,1.91543886905155,0.201904984833997,141.349229066591,4.13197049399129,0.435547932854119
"12","11",46,78.4876176717494,28.8053701117344,4.24712011703992,10.1197455239371,13.9846032545478,2.06191725990066,11.0932356067087,21.4343443879277,3.1603216654538,9.58083832335329,13.0807135214162,1.92864598949942,1.58656394963552,1.14285820191656,0.168505248898246,2.63170448772639,2.06018022675621,0.303757002664575,155.400463788473,3.69071465587187,0.544166188471296
"13","12",24,77.2433353683354,25.3805392853246,5.18078088714235,4.56578144078144,6.72504324349125,1.37274370372543,15.7371794871795,24.2375124252742,4.94746150635742,11.9444444444444,16.0059374622415,3.26719830311581,1.64486069486069,1.11133721929842,0.226850759953721,3.53609087671588,2.5532436446933,0.521178676541882,174.070766508333,4.81439762883479,0.982734800792539
"14","13",16,81.6309731934732,20.5083913974541,5.12709784936352,11.7098006160506,14.4627862405766,3.61569656014416,5.87797619047619,10.7653755520276,2.6913438880069,20.8333333333333,20.301081035585,5.07527025889625,1.78795569509855,1.58708907922094,0.396772269805234,2.79443650793651,2.79633820112472,0.69908455028118,187.56264276875,5.13270808205039,1.2831770205126
"15","14",5,97.3333333333333,3.28797974610715,1.47042924418762,2.66666666666667,3.28797974610715,1.47042924418762,0,0,0,0,0,0,1.06666666666667,0.838346502800043,0.374919953792023,0.807738095238095,0.22963191612455,0.102694514851605,202.8258969,3.07799007927522,1.37651901026587
"16","15",2,95,5.08547627715608,3.59597476114038,5,5.08547627715608,3.59597476114038,0,0,0,16.6666666666667,16.9515875905203,11.9865825371346,NA,0,0,0.888888888888889,0,0,211.50327615,0.612572214624374,0.433153966927356
"17","16",7,63.8424075924076,28.4128630536244,10.7390528107465,13.5364635364635,7.25943610435074,2.74380894152508,22.6211288711289,24.0877361176479,9.10430848769211,16.3461538461538,18.4894455491225,6.98835354320688,2.31818181818182,0.958989954908404,0.362464132928097,1.87378246753247,0.593572669510788,0.224349381224325,234.116164157692,3.30731080546827,1.25004598566654
"18","17",6,78.2407407407407,31.4552318901197,12.8415446452857,15.7407407407407,22.4434988243462,9.16252002706706,6.01851851851852,9.46122838525282,3.86253031396764,15.5555555555556,16.7227520747575,6.82703494637079,0.483333333333333,0.39904164473678,0.162908069287678,5.08333333333333,3.05251982012439,1.24618599817284,248.25602035,5.1314179548843,2.09489260773709
"19","19",1,60,0,0,0,0,0,40,0,0,0,0,0,0.25,0,0,4,0,0,276.1516587,0,0
"20","20",1,100,0,0,0,0,0,0,0,0,28.5714285714286,3.83736935466545e-15,3.83736935466545e-15,4,0,0,1,0,0,287.0246867,0,0
"21","21",1,66.6666666666667,0,0,33.3333333333333,0,0,0,0,0,40,0,0,0.666666666666667,0,0,9.84,0,0,303.2745442,0,0
"22","22",2,91.6666666666667,8.47579379526013,5.9932912685673,8.33333333333333,8.47579379526013,5.9932912685673,0,0,0,30,30.5128576629365,21.5758485668423,0.533333333333333,0,0,5.09090909090909,0,0,324.64525975,0.78243251288624,0.553263335682691
"23","23",2,42.8571428571429,43.5897966613378,30.8226408097747,32.1428571428571,25.4273813857804,17.9798738057019,25,18.1624152755574,12.8427670040728,6.66666666666667,0,0,1.75,0,0,1.13636363636364,0,0,339.1725042,5.91520377027465,4.18268069806144
"24","24",1,86.6666666666667,0,0,13.3333333333333,0,0,0,0,0,0,0,0,0.133333333333333,0,0,10.1333333333333,0,0,355.471215,0,0
"25","28",2,60,13.5612700724162,9.58926602970768,16.6666666666667,3.39031751810405,2.39731650742692,23.3333333333333,16.9515875905203,11.9865825371346,0,0,0,1.34722222222222,0.0988842609447015,0.0699217314666185,1.91025641025641,0.769341282954381,0.544006438223801,412.73748735,2.25153466394554,1.59207542895247
"26","29",4,100,0,0,0,0,0,0,0,0,1.66666666666667,2.91111254869791,1.45555627434895,2.79545454545455,2.34560454284801,1.17280227142401,1.23611111111111,0.644187786317316,0.322093893158658,423.704729775,1.89777640263766,0.94888820131883
"27","34",1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,508.8226837,0,0
"28","35",4,47.2348484848485,28.1734448766557,14.0867224383279,29.8971861471861,21.7391528006271,10.8695764003136,22.8679653679654,19.1613836347788,9.5806918173894,13.3333333333333,10.6298800690547,5.31494003452734,5,0,0,0.645833333333333,0.487358143227458,0.243679071613729,522.38288935,1.72254801061415,0.861274005307077
"29","36",4,97.5,4.36666882304687,2.18333441152343,2.5,4.36666882304687,2.18333441152343,0,0,0,16.6666666666667,12.1199280264873,6.05996401324364,4.68653846153846,0.514362225135238,0.257181112567619,1.44166666666667,0.569157867349738,0.284578933674869,529.4580239,2.32241201919689,1.16120600959845
"30","37",1,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,545.0619123,0,0
"31","38",9,66.7003367003367,38.5661144541259,12.8553714847086,13.4472934472935,25.647180024262,8.54906000808732,18.7412587412587,30.4479818754378,10.1493272918126,14.8148148148148,15.0547186955706,5.01823956519021,2.62473544973545,1.13673033698712,0.378910112329041,1.93611111111111,0.97293920494418,0.324313068314727,560.231064788889,4.14752730412165,1.38250910137388
"32","39",7,73.0735930735931,41.0149590277139,15.5021973744049,13.9393939393939,20.7381274484928,7.83827541226777,11.6883116883117,19.96159240122,7.54477275235211,9.52380952380952,13.3287537922972,5.03779540297536,2.83200767486482,1.08757085220948,0.411063144015554,2.4828885400314,1.53664120490886,0.58079578321764,579.148321571429,2.76725550533074,1.04592426875422
"33","43",1,73.3333333333333,0,0,0,0,0,26.6666666666667,0,0,0,0,0,4.8,0,0,1.13333333333333,0,0,631.2949914,0,0
"34","44",5,77.5764036958067,34.6249185038893,15.4847342980173,4.83297796730633,5.23891750816369,2.34291513535356,17.590618336887,32.9991369569346,14.7576626869063,2.98507462686567,4.7644885411301,2.13074405119714,1.97974413646055,1.04100672751079,0.465552361549745,3.13987753539992,0.878034629015724,0.392669023415594,656.797157979104,2.22420413629835,0.994694328919864
"35","46",5,78.7878787878788,29.0058132961923,12.9717940545907,15.8787878787879,28.7334715836558,12.8499991381226,5.33333333333333,10.7384968834244,4.80240180150131,8,10.7384968834244,4.80240180150131,1.525,0.658237819505251,0.294372901954995,1.65777777777778,0.633301721986504,0.283221140125899,682.50878798,0.290979675961406,0.130130067104113
"36","54",1,80,0,0,20,0,0,0,0,0,37.5,0,0,0,0,0,NA,0,0,806.0359085,0,0
